ISOLATE,collection_date,ST,cgT
2018-14894,2018-07-14,11,279
2019-02403,2019-01-31,11,279
2019-02443,2019-02-01,11,279
2019-02851,2019-02-08,11,279
2019-03086,2019-02-11,11,279
2019-03220,2019-02-12,11,279
2019-03494,2019-02-14,11,279
2019-06815,2019-03-21,11,279
2019-08250,2019-03-30,11,279
2019-08487,2019-03-31,11,279
2019-08588,2019-04-01,11,279
2019-09463,2019-04-13,11,279
2019-09744,2019-04-16,11,279
2019-09949,2019-04-18,11,279
2019-09944,2019-04-18,11,279
2019-09903,2019-04-16,11,279
2019-09900,2019-04-18,11,279
2019-09898,2019-04-18,11,279
2019-09969,2019-04-16,11,279
2019-09979,2019-04-17,11,279
2019-10038,2019-04-19,11,279
2019-10065,2019-04-20,11,279
2019-10068,2019-04-20,11,279
2019-10070,2019-04-18,11,279
2019-10071,2019-04-20,11,279
2019-10074,2019-04-20,11,279
2019-10161,2019-04-20,11,279
2019-10162,2019-04-22,11,279
2019-10184,2019-04-22,11,279
2019-10187,2019-04-22,11,279
2019-10430,2019-04-27,11,279
2019-10275,2019-04-24,11,279
2019-10905,2019-04-26,11,279
2019-10893,2019-04-29,11,279
2019-10868,2019-04-27,11,279
2019-10866,2019-04-27,11,279
2019-10865,2019-04-28,11,279
2019-10864,2019-04-29,11,279
2019-11044,2019-05-02,11,279
2019-11350,2019-05-05,11,279
2019-11646,2019-05-02,11,279
2019-11645,2019-05-06,11,279
2019-11639,2019-05-04,11,279
2019-11739,2019-05-09,11,279
2019-15330,2019-06-13,11,279
2020-13146,2020-05-01,11,279
2020-13162,2020-04-30,11,279
2020-13616,2020-05-05,11,279
2020-13726,2020-05-06,11,279
2020-14085,2020-05-11,11,279
2020-14235,2020-05-16,11,279
2020-14438,2020-05-15,11,279
2020-14498,2020-05-19,11,279
2020-25091,2020-05-25,11,279
2020-25607,2020-05-30,11,279
2020-27399,2020-06-24,11,279
2020-97727,2020-09-09,11,279
2020-106041,2020-09-26,11,279
2020-106165,2020-09-26,11,279
2020-117013,2020-11-12,11,279
2021-002349,2021-01-08,11,279
2021-007790,2021-02-22,11,279
2021-042616,2021-06-22,11,279
2021-042617,2021-06-22,11,279
2021-075750,2021-08-23,11,279
2021-143490,2021-11-07,11,279
2022-032636,2022-02-20,11,279
2023-005749,2023-02-10,-,279
2020-102113,2020-09-17,11,279
2020-120137,2020-11-27,11,279
2020-120138,2020-11-27,11,279
2020-120139,2020-11-27,11,279
2020-120140,2020-11-27,11,279
2020-120141,2020-11-27,11,279
