ISOLATE,collection_date,ST,cgT
2015-10854,2015-06-02,,-
2015-10885,2015-06-02,,-
2015-10886,2015-06-01,,-
2015-11035,2015-06-03,,-
2015-11134,2015-06-04,,-
2015-11440,2015-06-10,,-
2015-11521,2015-06-11,,-
2015-11727,2015-06-15,,-
2015-11842,2015-06-16,11,365
2015-11958,,,-
2015-12100,2015-06-22,,-
2015-12154,2015-06-21,,-
2015-12191,2015-06-23,,-
2015-12232,2015-06-24,,-
2015-12378,2015-06-22,,-
2015-12524,2015-06-28,,-
2015-13152,2015-06-30,,-
2015-13188,2015-06-26,,-
2015-13322,2015-07-01,,-
2015-13327,2015-06-30,,-
2015-13379,2015-07-04,,-
2015-00623,2015-01-07,,-
2015-00735,2015-01-06,,-
2015-01158,2015-01-14,,-
2015-01621,2015-01-20,11,136
2015-01626,2015-01-20,,-
2015-01703,2015-01-23,,-
2015-01823,2015-01-22,,-
2015-01902,2015-01-24,,-
2015-02176,2015-01-29,,-
2015-02292,2015-01-28,,-
2015-02559,2015-02-03,,-
2015-02629,2015-02-05,,-
2015-02680,2015-02-05,,-
2015-02949,,,-
2015-03393,2015-02-15,,-
2015-03233,2015-02-13,11,2189
2015-03173,2015-02-11,,-
2015-03157,2015-02-12,180,UC
2015-03617,2015-02-15,,-
2015-03800,2015-02-20,,-
2015-03941,2015-02-19,11,UC
2015-04172,2015-02-23,11,33
2015-04175,2015-02-24,,-
2015-04183,2015-02-23,,-
2015-04643,2015-03-03,,-
2015-04673,2015-03-03,,-
2015-05066,2015-03-07,,-
2015-02290,2015-01-30,,-
2015-05345,2015-03-10,,-
2015-05523,,,-
2015-05471,2015-03-11,,-
2015-05892,2015-03-17,,-
2015-05747,2015-03-17,,-
2015-05765,2015-03-16,,-
2015-06264,2015-03-24,,-
2015-06134,2015-03-23,,-
2015-06112,2015-03-23,,-
2015-06110,2015-03-19,,-
2015-05679,2015-03-17,,-
2015-06667,2015-04-01,,-
2015-07004,2015-04-07,,-
2015-07192,2015-04-08,,-
2015-07286,2015-04-07,,-
2015-07314,2015-04-11,,-
2015-07369,2015-04-10,,-
2015-07470,,,-
2015-07510,2015-04-12,,-
2015-07579,2015-04-13,,-
2015-07647,2015-04-17,,-
2015-07690,2015-04-16,,-
2015-07872,2015-04-15,,-
2015-07950,2015-04-21,,-
2015-08127,2015-04-21,,-
2015-08419,2015-04-25,,-
2015-08506,,,-
2015-08580,2015-04-27,,-
2015-08773,2015-05-01,11,1298
2015-08901,2015-05-04,,-
2015-09299,2015-05-06,,-
2015-09201,2015-05-08,,-
2015-09103,2015-05-07,,-
2015-09489,2015-05-08,11,1298
2015-09667,2015-05-13,,-
2015-09942,2015-05-18,,-
2015-10187,2015-05-18,,-
2015-10300,2015-05-23,,-
2015-10323,2015-05-22,,-
2015-10401,2015-05-25,,-
2015-10430,2015-05-24,11,2220
2015-10576,2015-05-27,,-
2015-10580,2015-05-27,,-
2015-10715,2015-05-29,,-
2015-13647,2015-07-10,,-
2015-13876,2015-07-10,,-
2015-13896,,,-
2015-14174,2015-07-13,,-
2015-14247,2015-07-13,,-
2015-14259,2015-07-16,1972,747
2015-14260,2015-07-16,,-
2015-14304,,11,2250
2015-14338,2015-07-17,,-
2015-14445,2015-07-14,,-
2015-14510,2015-07-18,,-
2015-14748,2015-07-22,,-
2015-14753,2015-07-22,,-
2015-14756,2015-07-22,,-
2015-14832,2015-07-23,,-
2015-14834,2015-07-22,,-
2015-14901,2015-07-24,,-
2015-14954,2015-07-22,,-
2015-15112,2015-07-24,,-
2015-15139,2015-07-26,,-
2015-15159,2015-07-27,,-
2015-15163,2015-07-29,,-
2015-15171,2015-07-28,,-
2015-15185,2015-07-27,,-
2015-15200,,11,2250
2015-15202,,,-
2015-15345,2015-07-31,,-
2015-15346,2015-07-31,,-
2015-15387,2015-08-03,11,2219
2015-15804,2015-08-06,,-
2015-15971,2015-08-05,,-
2015-16014,2015-08-09,,-
2015-16174,2015-08-12,,-
2015-16178,2015-08-13,11,2165
2015-16233,2015-08-12,,-
2015-16234,2015-08-12,,-
2015-16237,2015-08-14,,-
2015-16560,2015-08-17,,-
2015-16633,2015-08-18,,-
2015-16667,2015-08-19,,-
2015-16670,2015-08-21,,-
2015-16768,2015-08-23,,-
2015-17122,2015-08-26,,-
2015-17546,2015-09-01,11,33
2015-17636,2015-09-03,,-
2015-17601,2015-09-03,,-
2015-17716,,,-
2015-17743,2015-09-05,11,UC
2015-17765,2015-09-04,3304,260
2015-17842,2015-09-07,,-
2015-17901,2015-09-07,,-
2015-17981,2015-09-08,11,2218
2015-18079,2015-09-10,,-
2015-18070,2015-09-11,,-
2015-18065,2015-09-10,,-
2015-18010,2015-09-10,,-
2015-18006,2015-09-09,,-
2015-17996,2015-09-07,,-
2015-18193,2015-09-10,,-
2015-18134,2015-09-11,1972,747
2015-18165,2015-09-10,,-
2015-18159,2015-09-11,,-
2015-18235,2015-09-14,,-
2015-18223,2015-09-12,,-
2015-18321,2015-09-15,,-
2015-18319,2015-09-13,,-
2015-18302,2015-09-14,,-
2015-18403,2015-09-15,,-
2015-18366,2015-09-14,11,2165
2015-18470,2015-09-17,,-
2015-18469,2015-09-16,,-
2015-18431,2015-09-16,,-
2015-18422,2015-09-15,,-
2015-18566,2015-09-19,,-
2015-18891,2015-09-23,,-
2015-18873,2015-09-24,3304,260
2015-18963,,,-
2015-19276,2015-10-01,,-
2015-19342,2015-10-03,,-
2015-19466,2015-10-06,,-
2015-19464,2015-10-05,,-
2015-19524,2015-10-06,,-
2015-19488,2015-10-05,,-
2015-19610,2015-10-07,,-
2015-19608,2015-10-09,,-
2015-19557,2015-10-05,3304,260
2015-19717,2015-10-10,,-
2015-19875,2015-10-13,,-
2015-20068,2015-10-13,,-
2015-20060,2015-10-15,,-
2015-20059,2015-10-15,,-
2015-20058,2015-10-15,,-
2015-20244,2015-10-16,,-
2015-20155,2015-10-16,,-
2015-20151,2015-10-13,,-
2015-20378,,1925,159
2015-20581,2015-10-22,,-
2015-20557,2015-10-21,,-
2015-20516,2015-10-19,11,136
2015-20510,2015-10-21,,-
2015-20506,2015-10-20,,-
2015-20617,2015-10-23,,-
2015-20592,2015-10-19,,-
2015-20785,2015-10-26,,-
2015-20757,2015-10-24,,-
2015-20842,2015-10-26,,-
2015-21017,2015-10-29,,-
