ID	Cluster
2018-08060	348
2018-08061	348
2018-08062	348
2018-08063	348
2018-08064	348
2018-08065	348
2018-08066	348
2018-08067	348
2018-08068	348
2018-08069	348
2018-08070	348
2018-08071	348
2018-08072	348
2018-08073	348
2018-08074	348
2018-08075	348
2018-08076	348
2018-08077	348
2018-08078	348
2018-08079	348
2018-08080	348
2018-08081	348
2018-08082	348
2018-08083	348
2018-08084	348
2018-08085	348
2018-09690	697
2018-09691	109
2018-09692	1370
2018-09693	1363
2018-09694	715
2018-09695	1059
2018-09696	52
2018-09697	1182
2018-09698	298
2018-09699	751
2018-09700	1402
2018-09701	22
2018-09702	431
2018-09703	1283
2018-09704	398
2018-09705	1114
2018-09706	1367
2018-09707	1134
2018-09708	1361
2018-09709	882
2018-09710	1318
2018-09712	455
2018-09713	476
2018-10289	214
2018-10290	1300
2018-10291	853
2018-10292	569
2018-10293	575
2018-10294	739
2018-10295	1527
2018-10296	284
2018-10297	1515
2018-10298	558
2018-10299	252
2018-10300	284
2018-10408	753
2018-10409	226
2018-10410	44
2018-10411	978
2018-10412	279
2018-10413	284
2018-10414	128
2018-10415	1057
2018-10416	1181
2018-10417	775
2018-10418	479
2018-10419	429
2018-12456	1204
2018-12457	1110
2018-12458	351
2018-12459	746
2018-12460	348
2018-12461	904
2018-12462	1373
2018-12463	1275
2018-12464	217
2018-12466	75
2018-12467	550
2018-12468	632
2018-12469	123
2018-12470	159
2018-12471	2
2018-12472	455
2018-12473	1327
2018-12474	1001
2018-12475	924
2018-12476	414
2018-12477	356
2018-12478	990
2018-12479	151
2018-13063	1052
2018-13064	208
2018-13065	263
2018-13066	845
2018-13067	759
2018-13068	1328
2018-13069	888
2018-13070	778
2018-13071	202
2018-13072	857
2018-13073	1122
2018-13074	1523
2018-13075	1469
2018-13076	795
2018-13077	405
2018-13078	736
2018-13079	449
2018-13080	117
2018-13081	283
2018-13082	284
2018-13083	1243
2018-13084	325
2018-13085	326
2018-13086	1520
2018-13674	618
2018-13675	121
2018-13676	1251
2018-13677	933
2018-13678	855
2018-13681	304
2018-13682	502
2018-13683	871
2018-13684	548
2018-13685	530
2018-13686	165
2018-13687	734
2018-13688	962
2018-13689	1439
2018-13690	1347
2018-13691	1142
2018-13692	1018
2018-13693	1007
2018-13694	284
2018-13695	624
2018-13696	349
2018-13697	1182
2018-14482	1449
2018-14483	839
2018-14484	1047
2018-14485	1371
2018-14486	578
2018-14487	501
2018-14489	669
2018-14490	878
2018-14491	1191
2018-14492	984
2018-14493	497
2018-14494	1167
2018-14495	572
2018-14497	24
2018-14498	1506
2018-14500	339
2018-14501	164
2018-14502	437
2018-14503	719
2018-14504	695
2018-14505	562
2018-15984	536
2018-15985	349
2018-15986	773
2018-15987	821
2018-15988	399
2018-15989	812
2018-15991	1073
2018-15992	351
2018-15993	1318
2018-15994	256
2018-16819	1161
2018-16820	1074
2018-16821	1487
2018-16822	1473
2018-16823	1407
2018-16824	2
2018-16825	938
2018-16826	66
2018-16827	1453
2018-16828	1471
2018-17457	1126
2018-17458	1561
2018-17459	152
2018-17460	409
2018-17461	1075
2018-17462	1074
2018-17463	240
2018-17464	423
2018-17466	283
2018-17467	318
2018-18077	204
2018-18079	284
2018-18080	252
2018-18081	283
2018-18082	755
2018-18083	252
2018-18084	511
2018-18085	129
2018-18086	1103
2018-18087	1462
2018-18598	558
2018-18600	252
2018-18601	469
2018-18602	585
2018-18603	838
2018-18604	357
2018-18605	87
2018-18606	1345
2018-18607	17
2018-18608	656
2018-19269	1417
2018-19270	950
2018-19271	1005
2018-19272	822
2018-19273	1176
2018-19274	1048
2018-19275	1551
2018-19277	1338
2018-19278	531
2018-19279	306
2018-19823	791
2018-19824	283
2018-19825	1490
2018-19826	1203
2018-19827	714
2018-19828	1515
2018-19829	742
2018-19830	285
2018-19831	463
2018-19832	1092
2018-19833	1307
2018-20600	1132
2018-20601	790
2018-20602	645
2018-20603	283
2018-20604	1460
2018-20605	179
2018-20606	1095
2018-20610	252
2018-20611	729
2018-20612	582
2018-20613	907
2018-20614	1335
2018-20615	337
2018-20616	400
2018-21114	219
2018-21115	559
2018-21116	213
2018-21117	762
2018-21118	1028
2018-21119	1544
2018-21710	880
2018-21711	1318
2018-21712	455
2018-21713	1539
2018-23904	961
2018-23905	257
2018-23906	782
2018-23907	1297
2018-23908	814
2018-23909	818
2018-23910	1278
2018-23911	464
2018-23912	1151
2018-23913	62
2018-23914	1186
2018-25946	782
2018-25947	639
2018-25948	56
2018-25949	195
2018-25950	396
2018-25951	1571
2018-26109	1332
2018-26111	441
2018-26112	283
2018-26113	401
2018-26114	373
2018-26115	540
2018-26116	424
2018-26117	335
2018-26118	1120
2018-26119	1183
2018-26120	569
2018-26121	662
2018-26122	1154
2018-26123	410
2018-26124	284
2018-26125	1474
2018-26128	990
2018-26129	36
2018-26130	1572
2018-26131	622
2018-26753	1565
2018-26754	844
2018-26755	776
2018-26756	889
2018-26757	688
2018-26758	784
2018-26759	966
2018-26760	874
2018-26761	573
2018-26762	287
2018-26763	1016
2018-26764	712
2018-26765	648
2018-26766	1233
2018-26767	302
2018-26768	732
2018-26769	1117
2018-26770	979
2018-26771	688
2018-26772	1351
2018-26773	169
2018-26774	168
2019-00157	911
2019-00158	382
2019-00159	9
2019-00160	1252
2019-00161	598
2019-00162	801
2019-00163	477
2019-00164	252
2019-00165	1517
2019-00166	46
2019-00167	5
2019-00679	548
2019-01167	1396
2019-01168	915
2019-01169	1160
2019-01170	642
2019-01171	1341
2019-01172	836
2019-01173	65
2019-01174	1061
2019-01175	892
2019-01176	455
2019-01177	1334
2019-01178	941
2019-01179	313
2019-01180	1460
2019-01181	828
2019-01182	862
2019-01183	284
2019-01184	404
2019-01185	1388
2019-01186	786
2019-01187	683
2019-01188	91
2019-01189	886
2019-01558	867
2019-01559	281
2019-01560	1276
2019-01561	296
2019-01562	731
2019-02555	354
2019-02556	353
2019-02557	244
2019-02558	968
2019-02559	1444
2019-02560	849
2019-02561	1484
2019-02562	1481
2019-02563	68
2019-02564	1131
2019-02565	1130
2019-03056	252
2019-03057	1148
2019-03058	799
2019-03059	1011
2019-03060	186
2019-03061	945
2019-03062	185
2019-03063	557
2019-03064	587
2019-03065	510
2019-03067	1006
2019-03068	427
2019-03069	512
2019-03071	1339
2019-03072	1493
2019-03073	96
2019-03074	1169
2019-03075	939
2019-03077	19
2019-03661	894
2019-03662	283
2019-03663	1051
2019-03664	592
2019-03665	783
2019-03666	262
2019-03667	769
2019-03668	419
2019-03669	394
2019-05247	1485
2019-05249	1064
2019-05250	311
2019-05251	252
2019-05252	278
2019-05253	647
2019-05254	624
2019-05255	503
2019-05821	917
2019-05822	876
2019-05823	84
2019-05824	1036
2019-05825	557
2019-05826	802
2019-05828	463
2019-05829	184
2019-06555	164
2019-06556	713
2019-06557	252
2019-06558	1125
2019-06559	1044
2019-06560	737
2019-06561	348
2019-06563	674
2019-07047	284
2019-07048	284
2019-07049	284
2019-07050	284
2019-07051	283
2019-07052	284
2019-07053	283
2019-07054	1434
2019-07055	785
2019-07056	957
2019-07057	812
2019-07058	1051
2019-07059	1416
2019-07060	1182
2019-07061	1161
2019-07062	1321
2019-07063	503
2019-07064	782
2019-07065	1097
2019-07066	1137
2019-07067	999
2019-07068	252
2019-07069	996
2019-07070	252
2019-08446	1457
2019-08447	1502
2019-08448	498
2019-08449	1519
2019-08450	3
2019-08451	514
2019-08452	741
2019-08453	99
2019-08454	896
2019-08455	252
2019-08456	252
2019-08879	1097
2019-08880	993
2019-08881	998
2019-08882	1008
2019-08883	1284
2019-08884	1005
2019-08885	1000
2019-08886	252
2019-08887	997
2019-08888	1023
2019-08889	348
2019-08890	257
2019-08891	999
2019-08892	1022
2019-08893	1079
2019-08894	348
2019-08895	257
2019-08896	993
2019-08897	1352
2019-08898	1004
2019-08899	257
2019-08900	975
2019-08901	999
2019-09335	1281
2019-09336	990
2019-09337	1005
2019-09338	990
2019-09339	257
2019-09340	257
2019-09341	257
2019-09342	257
2019-09343	257
2019-09344	257
2019-09345	1005
2019-09346	1017
2019-09347	257
2019-09348	257
2019-09349	1021
2019-09350	1005
2019-09351	294
2019-09352	291
2019-09353	290
2019-09354	285
2019-09355	285
2019-09356	285
2019-09357	285
2019-09378	276
2019-09379	250
2019-09380	348
2019-09382	1136
2019-09383	601
2019-09384	934
2019-09385	589
2019-09386	946
2019-09387	1024
2019-09388	1024
2019-09685	285
2019-09686	295
2019-09687	285
2019-09688	289
2019-09689	290
2019-09690	364
2019-09691	246
2019-09692	577
2019-09693	952
2019-09694	954
2019-09695	1500
