Isolate	2018-18309-15	2018-24282	2018-24987	2018-25852	2018-26524	2018-26525	2019-24805	2019-24807	2019-26065	2019-26858	2019-27953	2019-30277	2019-30569	2019-30874	2019-31032	2020-01187	2020-06517	2020-06616	2020-118493	2020-118716	2020-119465	2020-120111	2020-120112	2020-120720	2020-121270	2021-000840	2021-001471	2021-004308	2021-005173	2021-007827	2021-009129	2021-022098	2021-038478	2021-046451	2021-106098	2021-116651	2021-143292	2021-147152	2021-154227	2021-165928	2021-188317	2021-188318	2021-188319	2022-030364-6	2022-034735	Reference
2018-18309-15	0	1727	1747	1424	1292	1450	1191	1610	1378	1627	1206	1407	1519	1531	1476	1621	1632	1637	1149	1266	1222	1194	1187	1724	1275	1259	1253	1379	1516	1264	1278	1173	1296	1290	1727	1267	1261	1260	1147	1284	1550	1393	1377	1253	1200	1952
2018-24282	1727	0	3	2471	1142	2522	1190	179	1549	185	1201	2943	1841	1452	1790	93	179	160	1227	1132	1611	901	914	1966	1129	1489	1503	2880	1822	1526	1131	1025	1148	1141	8	1553	1114	1120	1223	1140	70	2891	2900	1448	909	2693
2018-24987	1747	3	0	2468	1160	2523	1195	179	1569	195	1202	3000	1867	1486	1818	111	184	165	1250	1154	1632	902	916	2032	1148	1505	1519	2936	1847	1543	1152	1033	1166	1160	11	1570	1138	1140	1247	1159	73	2946	2957	1480	911	2811
2018-25852	1424	2471	2468	0	1795	15	773	1733	1550	1760	787	2965	1861	1961	1811	2575	1776	1757	930	1806	1631	1245	1252	1971	1796	1393	1402	2894	1841	1412	1781	1678	1837	1817	2471	1318	1767	1762	987	1797	2467	2903	2895	1413	1248	2970
2018-26524	1292	1142	1160	1795	0	1829	911	1119	1054	1125	908	1130	1311	1159	1276	1027	1140	1139	940	13	813	1009	1019	1680	6	982	983	1101	1292	1006	8	1012	23	24	1169	974	11	10	947	9	1030	1077	1095	945	1026	1619
2018-26525	1450	2522	2523	15	1829	0	778	1777	1577	1779	792	3030	1897	1980	1846	2631	1799	1778	957	1839	1658	1271	1278	2002	1829	1413	1421	2956	1878	1433	1813	1706	1870	1850	2528	1339	1798	1795	1012	1831	2527	2965	2956	1441	1275	3110
2019-24805	1191	1190	1195	773	911	778	0	871	1321	878	11	1393	950	1529	914	994	889	883	392	891	1426	1024	1014	1342	898	1014	1014	1345	942	1049	884	1452	952	929	1198	936	869	873	471	898	874	1351	1341	1196	1025	1236
2019-24807	1610	179	179	1733	1119	1777	871	0	1517	14	882	1606	1675	1443	1615	138	25	23	964	1108	1711	841	834	1557	1115	1448	1449	1548	1654	1465	1101	1325	1164	1143	200	1471	1089	1089	1012	1113	28	1545	1545	1393	845	1495
2019-26065	1378	1549	1569	1550	1054	1577	1321	1517	0	1528	1325	28	759	1090	753	1449	1538	1534	1052	1062	365	1145	1152	1328	1051	665	665	41	743	654	1054	1122	1066	1057	1611	734	1052	1044	1056	1054	1448	15	42	359	1151	1654
2019-26858	1627	185	195	1760	1125	1779	878	14	1528	0	887	1613	1685	1425	1630	140	15	12	982	1111	1716	854	850	1548	1120	1460	1462	1557	1663	1479	1107	1329	1169	1148	209	1483	1096	1094	1029	1118	30	1554	1554	1405	860	1486
2019-27953	1206	1201	1202	787	908	792	11	882	1325	887	0	1415	971	1548	935	1001	901	879	412	906	1426	1020	1026	1359	898	1005	1006	1367	947	1041	884	1478	950	929	1206	944	867	873	490	897	884	1357	1360	1200	1021	1281
2019-30277	1407	2943	3000	2965	1130	3030	1393	1606	28	1613	1415	0	835	1141	826	2849	1630	1642	1091	1117	381	1232	1226	1408	1124	697	714	45	838	698	1126	1204	1144	1134	3043	756	1122	1114	1101	1128	2902	31	53	398	1240	3296
2019-30569	1519	1841	1867	1861	1311	1897	950	1675	759	1685	971	835	0	2515	2	1698	1703	1712	1292	1288	1150	1780	1770	2168	1295	825	831	783	36	852	1299	1658	1330	1317	1861	872	1305	1288	1281	1309	1638	797	781	460	1789	2392
2019-30874	1531	1452	1486	1961	1159	1980	1529	1443	1090	1425	1548	1141	2515	0	2492	1338	1446	1455	2264	1130	899	2431	2422	1377	1140	820	815	1110	2500	839	1139	2418	1174	1168	1529	846	1140	1135	2238	1149	1315	1122	1107	767	2439	2961
2019-31032	1476	1790	1818	1811	1276	1846	914	1615	753	1630	935	826	2	2492	0	1640	1644	1651	1265	1259	1143	1770	1760	2149	1266	821	826	777	30	847	1271	1629	1299	1285	1804	867	1275	1259	1249	1277	1581	790	774	458	1773	2279
2020-01187	1621	93	111	2575	1027	2631	994	138	1449	140	1001	2849	1698	1338	1640	0	137	129	1052	1012	1586	896	908	1879	1006	1335	1349	2770	1664	1350	1010	977	1038	1029	112	1374	994	997	1041	1018	23	2793	2795	1276	903	2573
2020-06517	1632	179	184	1776	1140	1799	889	25	1538	15	901	1630	1703	1446	1644	137	0	22	988	1126	1733	861	853	1559	1134	1464	1466	1571	1683	1483	1121	1352	1183	1162	194	1487	1107	1108	1036	1132	27	1566	1567	1414	865	1524
2020-06616	1637	160	165	1757	1139	1778	883	23	1534	12	879	1642	1712	1455	1651	129	22	0	996	1143	1730	851	861	1577	1134	1462	1464	1583	1675	1481	1121	1350	1184	1163	175	1501	1106	1105	1044	1132	19	1563	1578	1415	859	1518
2020-118493	1149	1227	1250	930	940	957	392	964	1052	982	412	1091	1292	2264	1265	1052	988	996	0	918	1436	1655	1643	2169	922	1270	1269	1062	1291	1283	928	1564	951	935	1233	1174	907	906	22	939	933	1070	1057	888	1657	1561
2020-118716	1266	1132	1154	1806	13	1839	891	1108	1062	1111	906	1117	1288	1130	1259	1012	1126	1143	918	0	815	999	994	1658	10	968	971	1086	1291	1007	10	1000	24	25	1164	961	17	14	914	9	1016	1080	1083	946	1010	1597
2020-119465	1222	1611	1632	1631	813	1658	1426	1711	365	1716	1426	381	1150	899	1143	1586	1733	1730	1436	815	0	1277	1283	1082	812	679	677	358	1138	659	812	1298	818	818	1669	736	809	811	1446	813	1599	369	356	720	1290	2248
2020-120111	1194	901	902	1245	1009	1271	1024	841	1145	854	1020	1232	1780	2431	1770	896	861	851	1655	999	1277	0	16	1326	1001	982	987	1182	1754	1042	996	43	1032	1017	892	1067	990	986	1636	1003	855	1182	1180	1009	31	2007
2020-120112	1187	914	916	1252	1019	1278	1014	834	1152	850	1026	1226	1770	2422	1760	908	853	861	1643	994	1283	16	0	1319	1011	983	988	1173	1761	1045	1007	36	1043	1025	904	1054	1001	997	1622	1014	866	1189	1171	1013	33	2009
2020-120720	1724	1966	2032	1971	1680	2002	1342	1557	1328	1548	1359	1408	2168	1377	2149	1879	1559	1577	2169	1658	1082	1326	1319	0	1659	1073	1072	1363	2173	1105	1663	1220	1702	1691	2047	1100	1662	1656	2163	1655	1593	1376	1348	1014	1338	3255
2020-121270	1275	1129	1148	1796	6	1829	898	1115	1051	1120	898	1124	1295	1140	1266	1006	1134	1134	922	10	812	1001	1011	1659	0	962	965	1095	1281	1002	3	1007	18	21	1157	972	7	6	920	2	1009	1073	1090	936	1012	1579
2021-000840	1259	1489	1505	1393	982	1413	1014	1448	665	1460	1005	697	825	820	821	1335	1464	1462	1270	968	679	982	983	1073	962	0	0	701	793	174	965	1016	984	991	1543	263	969	963	1276	969	1328	680	700	379	979	1828
2021-001471	1253	1503	1519	1402	983	1421	1014	1449	665	1462	1006	714	831	815	826	1349	1466	1464	1269	971	677	987	988	1072	965	0	0	718	798	184	968	1027	987	994	1557	273	970	966	1275	970	1342	697	717	381	983	1854
2021-004308	1379	2880	2936	2894	1101	2956	1345	1548	41	1557	1367	45	783	1110	777	2770	1571	1583	1062	1086	358	1182	1173	1363	1095	701	718	0	787	670	1097	1138	1111	1105	2979	731	1096	1086	1072	1101	2820	57	32	394	1188	3162
